item_id,user_id,recommend,sentiment_analysis,genres,release_date,price,title,developer,items_count,item_name,playtime_forever
43110,76561197970982479,True,2,,,,,,277.0,Metro 2033,834.0
239030,js41637,True,2,"['Adventure', 'Indie']",2013-08-08,9.99,"Papers, Please",3909,888.0,"Papers, Please",349.0
224500,evcentric,True,2,"['Indie', 'Simulation', 'Strategy']",2016-02-23,14.99,Gnomoria,Robotronic Games,137.0,Gnomoria,13618.0
108710,doctr,True,2,"['Action', 'Adventure']",2012-02-16,9.99,Alan Wake,Remedy Entertainment,541.0,Alan Wake,1185.0
204300,maplemage,True,2,"['Action', 'Free to Play', 'Indie', 'Strategy']",2012-08-01,Free To Play,Awesomenauts - the 2D moba,Ronimo Games,629.0,Awesomenauts,17589.0
220,Wackky,True,2,['Action'],2004-11-16,9.99,Half-Life 2,Valve,,,
730,76561198079601835,True,0,['Action'],2012-08-21,14.99,Counter-Strike: Global Offensive,Valve,,,
730,MeaTCompany,True,2,['Action'],2012-08-21,14.99,Counter-Strike: Global Offensive,Valve,14.0,Counter-Strike: Global Offensive,18481.0
440,76561198089393905,True,0,"['Action', 'Free to Play']",2007-10-10,Free to Play,Team Fortress 2,Valve,,,
252950,76561198156664158,True,2,"['Action', 'Indie', 'Racing', 'Sports']",2015-07-07,19.99,Rocket League®,"Psyonix, Inc.",59.0,Rocket League,16470.0
252950,76561198156664158,True,2,"['Action', 'Indie', 'Racing', 'Sports']",2015-07-07,19.99,Rocket League®,"Psyonix, Inc.",59.0,Rocket League,16470.0
304930,76561198077246154,True,0,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']",2017-07-07,Free to Play,Unturned,Smartly Dressed Games,174.0,Unturned,25150.0
4000,WeiEDKrSat,True,0,"['Indie', 'Simulation']",2006-11-29,9.99,Garry's Mod,Facepunch Studios,28.0,Garry's Mod,16441.0
42910,thequeenpanda,True,0,"['Action', 'RPG']",2011-01-25,9.99,Magicka,Arrowhead Game Studios,524.0,Magicka,1219.0
4000,death-hunter,True,2,"['Indie', 'Simulation']",2006-11-29,9.99,Garry's Mod,Facepunch Studios,121.0,Garry's Mod,243840.0
440,DJKamBer,True,2,"['Action', 'Free to Play']",2007-10-10,Free to Play,Team Fortress 2,Valve,,,
49520,Rainbow-Dashie,True,0,"['Action', 'RPG']",2012-09-17,19.99,Borderlands 2,"Gearbox Software,Aspyr (Mac &amp; Linux)",,,
33440,76561198043472122,False,0,,,,,,88.0,Driver San Francisco,22.0
220200,MarbleShrine,True,2,"['Indie', 'Simulation']",2015-04-27,39.99,Kerbal Space Program,Squad,185.0,Kerbal Space Program,8592.0
211820,PPanther,True,2,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",2016-07-22,14.99,Starbound,Chucklefish,62.0,Starbound,11721.0
550,devvonst,True,2,['Action'],2009-11-16,19.99,Left 4 Dead 2,Valve,68.0,Left 4 Dead 2,7022.0
220,Fr0stedLine,True,2,['Action'],2004-11-16,9.99,Half-Life 2,Valve,50.0,Half-Life 2,272.0
277430,starkillershadow553,True,2,['Action'],2014-04-04,2.99,Halo: Spartan Assault,"Vanguard Games,343 Industries",,,
8870,76561198058373434,True,2,['Action'],2013-03-25,29.99,BioShock Infinite,"Irrational Games,Aspyr (Mac),Virtual Programming (Linux)",49.0,BioShock Infinite,962.0
33930,76561198048353577,True,2,"['Action', 'Simulation', 'Strategy']",2010-06-29,19.99,Arma 2: Operation Arrowhead,Bohemia Interactive,95.0,Arma 2: Operation Arrowhead,6684.0
219640,76561198066046412,True,2,"['Action', 'Indie']",2012-10-16,24.99,Chivalry: Medieval Warfare,Torn Banner Studios,48.0,Chivalry: Medieval Warfare,47800.0
287980,tru_mu_,True,2,"['Indie', 'Simulation', 'Strategy']",2015-11-06,9.99,Mini Metro,Dinosaur Polo Club,62.0,Mini Metro,620.0
224260,76561198070565427,True,0,"['Action', 'Free to Play', 'Indie']",2011-10-31,Free,No More Room in Hell,No More Room in Hell Team,75.0,No More Room in Hell,3061.0
221100,SavageEeEe,True,2,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']",2013-12-16,34.99,DayZ,Bohemia Interactive,32.0,DayZ,54642.0
570,76561198076909484,True,2,,,,,,,,
4000,KanadeTheNeko,True,2,"['Indie', 'Simulation']",2006-11-29,9.99,Garry's Mod,Facepunch Studios,73.0,Garry's Mod,44455.0
323370,Leaf_Light_Moscow,True,2,"['Action', 'Adventure', 'Free to Play', 'Massively Multiplayer', 'RPG']",2015-05-05,Free to Play,TERA,"Bluehole, Inc.",5.0,TERA,390.0
304930,GoAwayZach,True,2,"['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie']",2017-07-07,Free to Play,Unturned,Smartly Dressed Games,59.0,Unturned,8496.0
48700,76561198054540475,True,2,"['Action', 'RPG']",2010-03-31,19.99,Mount &amp; Blade: Warband,TaleWorlds Entertainment,106.0,Mount & Blade: Warband,8044.0
34900,76561198085547365,True,2,['Indie'],2009-07-20,0.99,Bad Rats: the Rats' Revenge,Invent4 Entertainment,65.0,Bad Rats,30.0
